FECHA;MOTIVO;DIVISION;PROVEEDOR;CANTIDAD;COSTO POR UNIDAD;COSTO TOTAL;SEMANA;MES;AÑO
18/4/2026;ENTRADA;ROPA;GROUP LATAM CO.,LIMITED;96;L151.92;L14,584.45;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;ROPA;GROUP LATAM CO.,LIMITED;24;L151.92;L3,646.11;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;ROPA;DENIM DELUXE INDUSTRIES;11;L276.27;L3,038.94;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;DENIM DELUXE INDUSTRIES;1;L276.44;L276.44;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;DENIM DELUXE INDUSTRIES;1;L276.39;L276.39;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;DENIM DELUXE INDUSTRIES;1;L276.39;L276.39;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;DENIM DELUXE INDUSTRIES;1;L276.33;L276.33;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;DENIM DELUXE INDUSTRIES;1;L276.33;L276.33;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;DENIM DELUXE INDUSTRIES;1;L276.33;L276.33;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;DENIM DELUXE INDUSTRIES;1;L276.33;L276.33;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;DENIM DELUXE INDUSTRIES;1;L276.39;L276.39;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;DENIM DELUXE INDUSTRIES;1;L276.39;L276.39;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;DENIM DELUXE INDUSTRIES;1;L276.39;L276.39;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;DENIM DELUXE INDUSTRIES;1;L276.26;L276.26;SEM-16;ABRIL;2026
21/4/2026;ENTRADA;VENTAS CANAL DE DISTRIBUCION;YIWU LYFHON INTL TRADE CO LTD;3;L57.26;L171.78;SEM-17;ABRIL;2026
21/4/2026;ENTRADA;VENTAS CANAL DE DISTRIBUCION;YIWU LYFHON INTL TRADE CO LTD;21;L5.89;L123.65;SEM-17;ABRIL;2026
21/4/2026;ENTRADA;VENTAS CANAL DE DISTRIBUCION;YIWU LYFHON INTL TRADE CO LTD;7;L27.23;L190.64;SEM-17;ABRIL;2026
18/4/2026;SALIDA;PASEO;YIWU LYFHON INTL TRADE CO LTD;4;L546.72;L2,186.86;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;PASEO;YIWU LYFHON INTL TRADE CO LTD;4;L585.40;L2,341.62;SEM-16;ABRIL;2026
21/4/2026;SALIDA;ROPA;STYLOMODA IN FASHION INT, S.A.;96;L155.53;L14,931.04;SEM-17;ABRIL;2026
21/4/2026;ENTRADA;ROPA;STYLOMODA IN FASHION INT, S.A.;96;L155.53;L14,931.04;SEM-17;ABRIL;2026
21/4/2026;SALIDA;ROPA;INTRATEX S.A.;42;L120.95;L5,079.89;SEM-17;ABRIL;2026
21/4/2026;ENTRADA;ROPA;INTRATEX S.A.;42;L114.47;L4,807.64;SEM-17;ABRIL;2026
21/4/2026;ENTRADA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;10;L50.04;L500.37;SEM-17;ABRIL;2026
22/4/2026;SALIDA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;160;L13.48;L2,156.24;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;160;L24.54;L3,926.40;SEM-17;ABRIL;2026
22/4/2026;SALIDA;ESCOLAR;EPIC GLOBALS LIMITED;430;L47.57;L20,455.68;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;21;L47.57;L999.00;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;170;L47.57;L8,087.13;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;132;L47.57;L6,279.42;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;54;L47.57;L2,568.85;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;53;L47.57;L2,521.28;SEM-17;ABRIL;2026
22/4/2026;SALIDA;ESCOLAR;EPIC GLOBALS LIMITED;574;L44.63;L25,617.80;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;46;L44.63;L2,052.99;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;146;L44.63;L6,516.03;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;94;L44.63;L4,195.25;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;144;L44.63;L6,426.76;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;144;L44.63;L6,426.76;SEM-17;ABRIL;2026
22/4/2026;SALIDA;ESCOLAR;EPIC GLOBALS LIMITED;481;L42.57;L20,475.32;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;141;L42.57;L6,002.12;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;87;L42.57;L3,703.44;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;182;L42.57;L7,747.42;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;71;L42.57;L3,022.34;SEM-17;ABRIL;2026
22/4/2026;SALIDA;ESCOLAR;EPIC GLOBALS LIMITED;610;L37.87;L23,099.14;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;202;L37.87;L7,649.22;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;222;L37.87;L8,406.57;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;84;L37.87;L3,180.87;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ESCOLAR;EPIC GLOBALS LIMITED;102;L37.87;L3,862.48;SEM-17;ABRIL;2026
22/4/2026;SALIDA;ROPA;VESTIRAMA S.A.;5;L188.12;L940.60;SEM-17;ABRIL;2026
22/4/2026;SALIDA;ROPA;STYLOMODA IN FASHION INT, S.A.;24;L165.94;L3,982.63;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ROPA;VESTIRAMA S.A.;5;L182.81;L914.06;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ROPA;STYLOMODA IN FASHION INT, S.A.;12;L165.88;L1,990.54;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;ROPA;STYLOMODA IN FASHION INT, S.A.;12;L165.94;L1,991.32;SEM-17;ABRIL;2026
22/4/2026;SALIDA;DEPORTIVA;YIWU LYFHON INTL TRADE CO LTD;11;L150.58;L1,656.37;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;DEPORTIVA;YIWU LYFHON INTL TRADE CO LTD;2;L160.29;L320.58;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;DEPORTIVA;YIWU LYFHON INTL TRADE CO LTD;3;L155.43;L466.30;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;DEPORTIVA;YIWU LYFHON INTL TRADE CO LTD;2;L165.15;L330.30;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;DEPORTIVA;YIWU LYFHON INTL TRADE CO LTD;2;L150.58;L301.16;SEM-17;ABRIL;2026
