SEMANA;Fecha;Tipo Transferencia;Origen;Destino;Division; BULTOS; UNIDADES; BULTOS; UNIDADES
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA, TOCOA;DS ROPA;1;107;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-EL PARAISO;DS ROPA;2;87;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-LA LABOR OCOTEPEQUE;DS HOGAR;4;28;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-LA LABOR OCOTEPEQUE;DS ROPA;3;290;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-PEÑA BLANCA;DS HOGAR;7;107;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-PEÑA BLANCA;DS ROPA;4;302;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SABA;DS HOGAR;1;20;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SABA;DS ROPA;1;10;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SAN ESTEBAN;DS HOGAR;1;27;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SAN ESTEBAN;DS ROPA;1;10;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-TALANGA ;DS HOGAR;1;16;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-TALANGA ;DS ROPA;1;10;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS HOGAR;1;23;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS ROPA;2;163;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;MEGACARPA EL PROGRESO-DS;DS ROPA;3;218;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS HOGAR;2;48;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS ROPA;3;309;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;RIO LINDO, LA  VITRINA;DS ROPA;2;315;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;SAN FRANCISCO-DS;DS ROPA;2;110;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;SAN MARCOS OCOTEPEQUE, LA VITR;DS ROPA;3;301;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS HOGAR;2;35;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS ROPA;2;230;;
15;9/4/2025;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS ROPA;;;1;208
15;9/4/2025;SEGUNDA;BODEGA DANILOS ;GRACIAS, LEMPIRA-DS;DS HOGAR;;;1;1
15;9/4/2025;SEGUNDA;BODEGA DANILOS ;GRACIAS, LEMPIRA-DS;DS ROPA;;;1;11
15;9/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-EL PARAISO;DS ROPA;;;1;11
15;10/4/2025;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS ROPA;;;4;837
15;10/4/2025;SEGUNDA;BODEGA DANILOS ;CATACAMAS-DS;DS ROPA;;;3;627
15;10/4/2025;SEGUNDA;BODEGA DANILOS ;GUAYMACA-DS;DS HOGAR;;;2;9
15;10/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SAN ESTEBAN;DS HOGAR;;;1;5
15;10/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SAN ESTEBAN;DS ROPA;;;4;807
15;10/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-TALANGA ;DS HOGAR;;;1;5
15;10/4/2025;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS HOGAR;;;6;413
15;10/4/2025;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS ROPA;;;1;204
15;10/4/2025;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS HOGAR;;;1;5
15;10/4/2025;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS ROPA;;;4;830
15;10/4/2025;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS HOGAR;;;1;5
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS HOGAR;;;1;5
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS ROPA;;;3;448
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;CATACAMAS-DS;DS ROPA;;;2;91
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;CUCUYAGUA-DS;DS HOGAR;;;1;5
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;CUCUYAGUA-DS;DS JUGUETERIA;;;1;4
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;GUAYMACA-DS;DS HOGAR;;;3;339
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;LA CEIBA-DS;DS INTERIOR;;;1;82
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-LA LABOR OCOTEPEQUE;DS HOGAR;;;3;125
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SAN ESTEBAN;DS INTERIOR;;;1;111
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SAN ESTEBAN;DS ROPA;;;2;378
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SAN ESTEBAN;DS VERANO;;;0;36
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-TRINIDAD;DS ROPA;;;1;232
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS HOGAR;;;4;234
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS INTERIOR;;;2;103
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS ROPA;;;3;654
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS INTERIOR;;;1;46
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS ROPA;;;4;785
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS VERANO;;;1;19
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;SABA-DS;DS HOGAR;;;1;5
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;SAN FRANCISCO-DS;DS ROPA;;;2;323
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;SANTA RITA, COPAN -DS;DS HOGAR;;;1;5
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS HOGAR;;;1;187
15;11/4/2025;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS ROPA;;;2;300
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS INTERIOR;;;2;437
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS ROPA;;;4;463
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS VERANO;;;2;26
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;CATACAMAS-DS;DS HOGAR;;;1;5
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;CATACAMAS-DS;DS VERANO;;;1;17
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;CUCUYAGUA-DS;DS HOGAR;;;3;257
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;CUCUYAGUA-DS;DS INTERIOR;;;1;275
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;CUCUYAGUA-DS;DS ROPA;;;4;615
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;CUCUYAGUA-DS;DS VERANO;;;1;21
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;EL NEGRITO, YORO-DS;DS HOGAR;;;1;5
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;GUAYMACA-DS;DS INTERIOR;;;2;498
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;GUAYMACA-DS;DS ROPA;;;1;103
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;GUAYMACA-DS;DS VERANO;;;1;2
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA CEIBA-DS;DS INTERIOR;;;1;284
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA CEIBA-DS;DS ROPA;;;1;101
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA CEIBA-DS;DS VERANO;;;2;32
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA LIBERTAD-DS;DS HOGAR;;;1;5
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA LIBERTAD-DS;DS ROPA;;;1;1
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-LA LABOR OCOTEPEQUE;DS INTERIOR;;;0;223
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-LA LABOR OCOTEPEQUE;DS ROPA;;;1;97
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-LA LABOR OCOTEPEQUE;DS VERANO;;;3;75
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SAN ESTEBAN;DS INTERIOR;;;0;195
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SAN ESTEBAN;DS ROPA;;;3;307
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SAN ESTEBAN;DS VERANO;;;1;2
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-TALANGA ;DS HOGAR;;;2;168
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-TALANGA ;DS INTERIOR;;;1;250
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-TALANGA ;DS ROPA;;;4;653
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LA VITRINA-TALANGA ;DS VERANO;;;1;2
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS INTERIOR;;;2;343
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS ROPA;;;3;594
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS VERANO;;;1;22
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;MEGACARPA EL PROGRESO-DS;DS HOGAR;;;1;5
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;MEGACARPA EL PROGRESO-DS;DS ROPA;;;1;3
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;MEGACARPA EL PROGRESO-DS;DS VERANO;;;1;15
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS INTERIOR;;;1;289
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS ROPA;;;3;313
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS VERANO;;;1;1
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;SABA-DS;DS INTERIOR;;;1;50
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;SABA-DS;DS ROPA;;;0;1
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;SABA-DS;DS VERANO;;;0;2
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;SAN FRANCISCO-DS;DS HOGAR;;;1;5
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;SANTA RITA, COPAN -DS;DS INTERIOR;;;0;225
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;SANTA RITA, COPAN -DS;DS ROPA;;;2;224
